Dislocation of joint	108367008
Arthrotec	3384011000036100
Serum creatinine raised	166717003
Lipitor	3877011000036101
Foot eczema	402234004
Dizziness	404640003
Stomach ache	271681002
Severe pain	76948002
Burning feet	36031001
Severe pain	76948002
Renal failure	42399005
Myalgia/myositis - upper arm	288227007
Mentally dull	419723007
Bloating symptom	248490000
Pain	22253000
Excessive upper gastrointestinal gas	162076009
Poor short-term memory	247592009
Pins and needles	62507009
Lipitor	3877011000036101
Pins and needles	62507009
Arthrotec	3384011000036100
Headache	25064002
Lipitor	3877011000036101
Anxiety	48694002
Pain	22253000
Memory impairment	386807006
Rash	271807003
glucosamine	69813011000036107
Pins and needles	62507009
Arthralgia	57676002
Digestive symptom	308925008
Pins and needles	62507009
Lipitor	3877011000036101
Menorrhagia	386692008
Menstrual spotting	9126005
Lipitor	3877011000036101
Lipitor	3877011000036101
Muscle cramp	55300003
Amnesia	48167000
Lipitor	3877011000036101
Fatigue	84229001
Unable to think clearly	247640008
Adhesive capsulitis of shoulder	399114005
diclofenac	21288011000036105
ezetimibe	21930011000036101
Pain	22253000
Constant pain	426206001
Lipitor	3877011000036101
Mentally dull	419723007
Dizziness	404640003
Pain	22253000
Erythema of skin	444827008
Lipitor	3877011000036101
Amnesia	48167000
Myalgia	68962001
Lipitor	3877011000036101
Arthralgia	57676002
Low back pain	279039007
Lipitor	3877011000036101
Pain	22253000
Excessive upper gastrointestinal gas	162076009
Difficulty sleeping	301345002
Difficulty breathing	230145002
omega-3-acid ethyl esters-90	931804011000036107
Syncope	271594007
Mood swings	18963009
Lipitor	3877011000036101
Tachycardia	3424008
Fatigue	84229001
Excitement	58901008
Fatigue	84229001
Myalgia	68962001
Lipitor	3877011000036101
Stomach ache	271681002
Lipitor	3877011000036101
Lipitor	3877011000036101
Knee pain	30989003
Neck pain	81680005
Pain	22253000
Hip pain	49218002
Hip pain	49218002
Muscle weakness	26544005
Crestor	4031011000036106
Pain in lower limb	10601006
Bad circulation - vasomotor change	271137009
Urine looks dark	39575007
Excessive upper gastrointestinal gas	162076009
ascorbic acid	77435011000036104
Diarrhoea	62315008
Lipitor	3877011000036101
Dizziness	404640003
Severe pain	76948002
Severe pain	76948002
Asthenia	13791008
Exhaustion	60119000
Lipitor	3877011000036101
Fear of falling	401269004
Pain	22253000
Pain in pelvis	30473006
Lipitor	3877011000036101
Myalgia	68962001
Lipitor	3877011000036101
Poor short-term memory	247592009
Severe pain	76948002
Tagamet	3003011000036100
Rhabdomyolysis	240131006
Depression	35489007
Indigestion	162031009
Feeling irritable	55929007
Pins and needles	62507009
Nexium	2929011000036108
Chest pain	29857009
Inflammatory disorder	128139000
Itching	418290006
Myocardial infarction	22298006
Erythema	247441003
Vaginal bleeding	289530006
Muscle weakness	26544005
Poor concentration	26329005
Severe pain	76948002
Pain	22253000
Urinary retention	267064002
Severe pain	76948002
Rupture of Achilles tendon	429513001
Unable to walk	282145008
Moderate anxiety	61387006
Severe pain	76948002
Fever	386661006
Myalgia	68962001
Malaise	367391008
Generalised aches and pains	82991003
Lipitor	3877011000036101
Derealisation	40806005
Naprosyn	15611000168108
Hip pain	49218002
Pain	22253000
Weakness of limb	309774006
Vomiting	422400008
Backache	161891005
Knee pain	30989003
Pain	22253000
Sharp pain	8708008
Myocardial infarction	22298006
Hand cramps	250082003
Tired	224960004
Paraesthesia of lower extremity	429783005
Cannot sleep at all	248255005
Flushing	238810007
Low back pain	279039007
Difficulty sleeping	301345002
Asthenia	13791008
Headache	25064002
Lipitor	3877011000036101
Malaise	367391008
Enbrel	25701000168107
Mentally dull	419723007
Constipation	14760008
Numbness	44077006
Severe pain	76948002
Cough	49727002
Lipitor	3877011000036101
Menorrhagia	386692008
Increased venous pressure	69791001
Drowsy	271782001
Muscle cramp	55300003
Lipitor	3877011000036101
Decreased cholesterol esters	124055002
Pain	22253000
Celebrex	4171011000036100
Muscle cramp	55300003
Diarrhoea	62315008
Charleyhorse	54981004
Cramp in foot	102551008
Muscle atrophy	88092000
Constant pain	426206001
Tachycardia	6285003
Arthralgia	57676002
Facial swelling	278528006
Fatigue	84229001
Depression	35489007
Pins and needles	62507009
ubidecarenone	77424011000036100
Tiredness symptom	267031002
Asthenia	13791008
Tinnitus	60862001
Tired	224960004
Cold sweat	83547004
Pain	22253000
Amnesia	48167000
Knee pain	30989003
Tightness sensation	299954009
Contusion of hand	5662003
Lipitor	3877011000036101
Arthritis	3723001
Malignant neoplasm of brain	428061005
Numbness of lower limb	309537005
Tinnitus	60862001
Parkinson's disease	49049000
Pain	22253000
Lipitor	3877011000036101
Reduced libido	8357008
Lipitor	3877011000036101
Lipitor	3877011000036101
Disorientated	62476001
Peripheral neuropathy	302226006
Neck pain	81680005
Weakness of limb	309774006
Mentally dull	419723007
Asthenia	13791008
Abdominal pain	21522001
Tinnitus	60862001
Bloating symptom	248490000
Type 2 diabetes mellitus	44054006
Pain	22253000
Lipitor	3877011000036101
Vomiting	422400008
Raised low density lipoprotein cholesterol	445445006
Lipitor	3877011000036101
Lipitor	3877011000036101
Fatigue	84229001
Postmenopausal bleeding	76742009
Myalgia	68962001
Increased venous pressure	69791001
Renal pain	274279008
Hand pain	53057004
Dizziness	404640003
Impaired mobility	82971005
Fatigue	84229001
Myalgia	68962001
Parkinson's disease	49049000
Cramp in lower limb	449917004
Muscle weakness	26544005
Hypercholesterolaemia	13644009
Myalgia/myositis - shoulder	288226003
Ankle joint pain	202490009
Arthritis	3723001
Unable to get off a bed	301676004
Muscle atrophy	88092000
Anxiety	48694002
Heart disease	56265001
Heavy feeling	161874006
Pain in upper limb	102556003
Myositis	26889001
Hot sweats	224962007
Muscle cramp	55300003
Dry eyes	162290004
Mentally dull	419723007
Norvasc	4216011000036104
Asthenia	13791008
Upset stomach	162059005
Lipex	3298011000036103
Serum cholesterol raised	166830008
Diovan	53523011000036100
Zocor	3904011000036106
Lipitor	3877011000036101
Depression	35489007
Palpitations	80313002
Myocardial infarction	22298006
Pain	22253000
Asthenia	13791008
Arthritis	3723001
Nausea	422587007
Weight gain	8943002
Muscle cramp	55300003
Anxiety	48694002
Irritable bowel syndrome	10743008
Peripheral neuropathy	302226006
Difficulty breathing	230145002
Stiffness	271587009
Tingling of skin	274676007
Lipitor	3877011000036101
Lipitor	3877011000036101
