Adrenergic syndrome	C0274714
Hearing Loss, Partial	C0018772
Typhoid Fever	C0041466
Carcinoma of lung	C0684249
Pregnancy	C0032961
Myasthenias	C0947912
Apnea	C0003578
Hormone-refractory prostate cancer	C1328504
Cushingoid facies	C0332601
Nephrotic Syndrome	C0027726
Electrocardiogram PR prolongation	C0600125
Nephrosis	C0027720
Xerostomia	C0043352
Middle insomnia	C0393761
Expressive language disorder	C0236826
Tachypnea	C0231835
Altered Taste	C0740425
Hyposthenuria	C0232831
Human herpesvirus 6 infection	C0854530
Urinary Retention	C0080274
Chemosis	C0271298
Pathological Dilatation	C0012359
Macular retinal edema	C0271051
Nuchal Rigidity	C1320474
Pounding heart	C0235240
Neoplasms	C0027651
Alopecia	C0002170
Bradycardia	C0428977
Visual colour distortions	C0852388
Posterior rhinorrhea	C0032781
Eosinophilic Pneumonia	C1527407
Hypogeusia	C0151934
Common Cold	C0009443
Tendon disorder	C0151936
Tendon rupture	C0151937
Cerebrovascular accident	C0038454
Stridor	C0038450
FEMALE LACTATION	C0151752
Restless Legs Syndrome	C0035258
Periorbital oedema	C0151205
Persistent Fetal Circulation Syndrome	C0031190
Labile hypertension	C3665418
Ulna Fractures	C0041601
Peripheral motor neuropathy	C0235025
Chronic Lymphocytic Leukemia	C0023434
Orofacial oedema	C0856623
Growth retardation	C0151686
Brain Edema	C1527311
Hair discoloration	C0151689
Hypertension worsened	C0235750
Diabetes Mellitus	C0011849
Bronchitis	C0006277
Mendelson Syndrome	C0085740
Fibromyalgia	C0016053
Ejaculation failure	C0278106
Salivary gland enlargement	C0020569
Painful erection	C0233973
Hypertrophy	C0020564
Hepatic impairment	C0948807
Rhinitis perennial	C0848309
Substance Withdrawal Syndrome	C0038587
Disorientation	C0233407
Psychiatric symptom	C0233401
Anhidrosis	C0003028
Myoglobinuria	C0027080
Purging	C0855227
General unsteadiness	C0427108
Non-gonococcal urethritis (NGU)	C1112709
Cystitis haemorrhagic	C0085692
Coronary Artery Disease	C1956346
Choking sensation	C0546947
Paresis	C0030552
Weepiness	C0424109
Paresthesia	C0030554
Dependence psychological	C0278079
Somnambulism	C0037672
Tumor pain	C0854069
Fasciitis, Plantar	C0149756
Bilirubin total low	C3203661
Sicca Syndrome	C0086981
Excitement emotion	C0233571
Liver Cirrhosis	C0023890
Liver diseases	C0023895
Illness (finding)	C0221423
Paraplegia	C0030486
Action Tremor	C0234376
Trichinellosis	C0040896
Chromaturia	C0541832
Lacrimation	C0423153
Hair texture abnormal	C0235807
Infestation	C0851341
Feeling jittery	C0549209
Hip Fractures	C0019557
Panic	C0030318
Panic Disorder	C0030319
Equilibration disorder	C0575090
Pancytopenia	C0030312
Memory Loss	C0751295
Pseudomembranous colitis	C1257843
Delirium	C0011206
Incontinence	C0021167
Derealization	C0233754
Infectious disorder of bronchus	C0340238
Blood prolactin increased	C0854082
Macular Edema, Cystoid	C0024440
Hysteria	C0020701
Abdomen, Acute	C0000727
Brain dysfunction	C0262405
Abdominal Cramps	C0000729
Feeling drunk	C0522172
Lymphocytosis	C0024282
Respiratory rate decreased	C0231837
Bulla	C0005758
Crying abnormal	C0235939
Organ failure	C0349410
Hepatitis	C0019158
Limb discomfort	C0854303
Jaw stiffness	C0549250
Bladder dilatation	C0549253
Anxiety aggravated	C0549259
Hepatic Veno-Occlusive Disease	C0019156
Vaginal itching	C0042256
Urine drug screen positive	C0743300
Tuberculosis	C0041296
Angina Pectoris	C0002962
Neck Injuries	C0027531
Angina, Unstable	C0002965
Prostatic Diseases	C0033575
Bronchitis viral	C0276141
Asthma aggravated	C0549336
Fatty Liver	C0015695
Common wart	C0043037
Unspecified circulatory system disorder	C0728936
Night Terrors	C0037320
Urination Disorders	C0042035
Glossopharyngeal Neuralgia	C0154731
Increased bilirubin level (finding)	C0311468
Night cramps	C0262578
Corneal Opacity	C0010038
Application site pruritus	C0853714
Sperm count decreased	C0853711
Ketogenic Diet	C0259972
Diabetes with coma (disorder)	C1263960
Fever	C0015967
Adenocarcinoma	C0001418
Tolerance development	C0236051
Renal pain	C0558489
Diabetic	C0241863
Abnormal sensation in eye	C0497201
Churg-Strauss Syndrome	C0008728
Pruritus	C0033774
Lichenoid Eruptions	C0162848
Sickle Cell Dactylitis	C0852711
Prurigo	C0033771
Urticaria	C0042109
Pruritus Vulvae	C0033778
Sinus Arrhythmia	C0003813
Cardiac Arrhythmia	C0003811
Bone cancer metastatic	C0153690
Death (finding)	C1306577
Hemiplegia	C0018991
Transaminases increased	C0438717
Gangrene	C0017086
Aortic Aneurysm	C0003486
Serum prolactin increased	C0857980
Taste, Metallic	C0240327
Tietze's Syndrome	C0040213
Application site rash	C0521495
Application site irritation	C0521490
Application site pain	C0521491
Tissue Adhesions	C0001511
Prostate carcinoma	C0600139
Hepatocellular Adenoma	C0206669
Convulsions aggravated	C0234975
Radiation Pneumonitis	C0206063
Lung Diseases, Interstitial	C0206062
Pneumonia, Interstitial	C0206061
Pleural effusion disorder	C0032227
Ascites	C0003962
Gastrointestinal infection	C1264613
Function kidney decreased	C0232807
Metastatic Neoplasm	C2939420
Speech Disorders	C0037822
Conjunctival haemorrhage	C0009760
Arachnoiditis	C0003708
Nettle rash	C1536459
Fatigability	C0231230
Dry throat	C0235234
Communicable Diseases	C0009450
Dizziness	C0012833
Supraventricular arrhythmia	C0428974
Blood alkaline phosphatase increased	C0852911
Blood amylase increased	C0852913
Cardiopulmonary Arrest	C0600228
Respiratory Tract Infections	C0035243
Abdominal bloating	C1291077
Epigastric discomfort	C1291078
Intracranial Hypertension	C0151740
Kidney function abnormal	C0151746
